Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
karoo-rally-tower-pro,Karoo Rally Tower Pro,"<p><em>The flagship navigation tower for lightweight rally builds.</em></p><p>A rigid, purpose-built cockpit that keeps navigation, communication and controls exactly where you need them. Laser-cut, folded and welded in South Africa, then powder-coated for the long haul. Integrated mounting points for roadbook, GPS, switch panels and auxiliary lighting mean one clean tower does the work of a shelf full of brackets.</p><h4>What's included</h4><ul><li>Rally tower main structure</li><li>Stainless mounting hardware kit</li><li>Anti-vibration bushings</li><li>Roadbook & GPS mounting plate</li><li>Fitment & torque guide</li></ul><h4>Specifications</h4><ul><li>Material: 3CR12 stainless, laser-cut & TIG-welded</li><li>Weight: 2.4 kg (5.3 lb)</li><li>Dimensions: 310 × 240 × 180 mm</li><li>Warranty: 3-year structural warranty</li><li>Install: Intermediate, 60–90 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024)</p>",Karoo Moto,Rally Towers,"Rally Towers, Best Seller, Featured, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500",TRUE,Finish,Satin Black,KM-RT-500-PRO-SB,2400,shopify,12,deny,manual,749,,TRUE,TRUE,,active
karoo-rally-tower-pro,,,,,,,,Raw Brushed,KM-RT-500-PRO-RB,2400,shopify,12,deny,manual,749,,TRUE,TRUE,,
karoo-rally-tower-pro,,,,,,,,Bronze Anodised,KM-RT-500-PRO-BA,2400,shopify,12,deny,manual,749,,TRUE,TRUE,,
karoo-dash,Karoo Dash,"<p><em>Designed for riders who demand factory-quality navigation solutions.</em></p><p>A billet-framed navigation dash that carries roadbook, GPS and a phone or rally computer on one vibration-isolated platform. Machined mounting slots let you set your own layout, and integrated cable channels keep the wiring clean and serviceable. Built to read like it came from the factory floor — because ours did.</p><h4>What's included</h4><ul><li>Karoo Dash billet frame</li><li>Vibration-isolation mounts</li><li>Universal device rails</li><li>Cable-routing clips</li><li>Fitment guide</li></ul><h4>Specifications</h4><ul><li>Material: 6082-T6 billet aluminium frame</li><li>Weight: 1.1 kg (2.4 lb)</li><li>Dimensions: 220 × 160 × 70 mm</li><li>Warranty: 3-year warranty</li><li>Install: Bolt-on, 30–45 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024); KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Navigation Systems,"Navigation Systems, Best Seller, Featured, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-NAV-DASH-SB,1100,shopify,12,deny,manual,519,,TRUE,TRUE,,active
karoo-dash,,,,,,,,Bronze Anodised,KM-NAV-DASH-BA,1100,shopify,12,deny,manual,519,,TRUE,TRUE,,
karoo-skid-plate-hd,Karoo HD Skid Plate,"<p><em>Takes the hit so your cases and water pump do not.</em></p><p>A 4 mm formed aluminium skid plate with linkage protection and integrated drainage. Rubber-isolated mounting keeps engine noise down and prevents cracking on hard landings. Cut for service access so oil changes do not mean pulling the plate.</p><h4>What's included</h4><ul><li>Skid plate</li><li>Isolation-mount kit</li><li>Stainless hardware</li></ul><h4>Specifications</h4><ul><li>Material: 4 mm 5052 aluminium</li><li>Weight: 1.8 kg (4.0 lb)</li><li>Dimensions: 430 × 300 × 120 mm</li><li>Warranty: 2-year warranty</li><li>Install: Bolt-on, 30 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024)</p>",Karoo Moto,Protection,"Protection, Featured, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500",TRUE,Finish,Raw,KM-PRO-SKID-HD-R,1800,shopify,12,deny,manual,289,,TRUE,TRUE,,active
karoo-skid-plate-hd,,,,,,,,Satin Black,KM-PRO-SKID-HD-SB,1800,shopify,12,deny,manual,289,,TRUE,TRUE,,
karoo-tower-light-bar,Tower LED Light Bar,"<p><em>Tower-mounted auxiliary light for long, dark transits.</em></p><p>A compact dual-row LED bar that bolts directly to the Karoo Rally Tower or any 22 mm bar. Deutsch-connectorised harness with an inline relay and handlebar switch included. Aimed spill-and-spot optics throw a usable pool of light without blinding oncoming traffic.</p><h4>What's included</h4><ul><li>LED light bar</li><li>Deutsch-connectorised harness</li><li>Inline relay & fuse</li><li>Handlebar switch</li><li>Mounting hardware</li></ul><h4>Specifications</h4><ul><li>Material: Die-cast aluminium housing, hardened lens</li><li>Weight: 0.6 kg (1.3 lb)</li><li>Dimensions: 210 × 55 × 60 mm</li><li>Warranty: 2-year warranty</li><li>Install: Intermediate, 45–60 min</li></ul><h4>Fitment</h4><p>KTM 500 EXC-F / XCF-W (2017–2024); Husqvarna FE 501 (2017–2024); GasGas ES 500 (2021–2024); KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Lighting,"Lighting, KTM 500 EXC-F / XCF-W, Husqvarna FE 501, GasGas ES 500, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-LGT-BAR-40-SB,600,shopify,12,deny,manual,199,,TRUE,TRUE,,active
karoo-rear-rack,Adventure Rear Rack,"<p><em>Billet-mounted load platform for real touring weight.</em></p><p>A tubular rear rack with a machined billet mounting interface that spreads load into the subframe instead of hanging off the fender. Flat top plate accepts a top case or soft dry bag, with tie-down points positioned for a stable pack.</p><h4>What's included</h4><ul><li>Rear rack</li><li>Billet subframe mounts</li><li>Stainless hardware</li></ul><h4>Specifications</h4><ul><li>Material: CrMo tube with 6082 billet mounts</li><li>Weight: 1.5 kg (3.3 lb)</li><li>Dimensions: 360 × 300 × 90 mm</li><li>Warranty: 3-year structural warranty</li><li>Install: Intermediate, 45 min</li></ul><h4>Fitment</h4><p>KTM 690 Enduro R (2019–2024); Husqvarna 701 Enduro (2019–2024)</p>",Karoo Moto,Luggage,"Luggage, KTM 690 Enduro R, Husqvarna 701 Enduro",TRUE,Finish,Satin Black,KM-LUG-RACK-R-SB,1500,shopify,0,continue,manual,259,,TRUE,TRUE,,active
karoo-rear-rack,,,,,,,,Raw Brushed,KM-LUG-RACK-R-RB,1500,shopify,0,continue,manual,259,,TRUE,TRUE,,
